hum,tgt
ANGPT1,Angpt1
ANGPT2,Angpt2
ANK1,Ank1
ANK2,Ank2
ANK3,Ank3
ANPEP,Anpep
SLC25A4,Slc25a4
SLC25A5,Slc25a5
ANXA1,Anxa1
ANXA2,Anxa2
ANXA3,Anxa3
ANXA4,Anxa4
ANXA5,Anxa5
ANXA6,Anxa6
ANXA7,Anxa7
ANXA11,Anxa11
ANXA13,Anxa13
AOAH,Aoah
AOX1,Aox1
APAF1,Apaf1
NUDT2,Nudt2
APBA1,Apba1
APBA2,Apba2
APBB1,Apbb1
APBB2,Apbb2
APC,Apc
APCS,Apcs
AIRE,Aire
APEH,Apeh
APEX1,Apex1
BIRC2,Birc2
XIAP,Xiap
BIRC5,Birc5
APLP1,Aplp1
APLP2,Aplp2
APOA1,Apoa1
APOA2,Apoa2
APOA4,Apoa4
APOB,Apob
APOBEC1,Apobec1
APOC1,Apoc1
AQP8,Aqp8
APOC2,Apoc2
APOC3,Apoc3
APOC4,Apoc4
APOD,Apod
APOE,Apoe
APOH,Apoh
APP,App
APRT,Aprt
FAS,Fas
FASLG,Faslg
SHROOM2,Shroom2
AQP1,Aqp1
AQP2,Aqp2
AQP3,Aqp3
AQP4,Aqp4
AQP5,Aqp5
AQP6,Aqp6
AQP7,Aqp7
AQP9,Aqp9
AR,Ar
ABCC6,Abcc6
ARAF,Araf
ARCN1,Arcn1
TRIM23,Trim23
AREG,Areg
ARF1,Arf1
ARF3,Arf3
ARF4,Arf4
ARL4D,Arl4d
ARF5,Arf5
ARF6,Arf6
ARG1,Arg1
ARG2,Arg2
RHOA,Rhoa
RHOB,Rhob
RHOC,Rhoc
RND3,Rnd3
RHOG,Rhog
ARHGAP1,Arhgap1
ARHGAP4,Arhgap4
ARHGAP5,Arhgap5
ARHGAP6,Arhgap6
ARHGDIA,Arhgdia
ARHGDIB,Arhgdib
ARHGDIG,Arhgdig
RHOH,Rhoh
ARL1,Arl1
PHOX2A,Phox2a
ARL2,Arl2
ARL3,Arl3
ARNT,Arnt
BMAL1,Bmal1
ARR3,Arr3
ARRB1,Arrb1
ARRB2,Arrb2
ARSA,Arsa
ARSB,Arsb
STS,Sts
ART1,Art1
ART3,Art3
ART4,Art4
ARVCF,Arvcf
ASAH1,Asah1
ASCL1,Ascl1
ASCL2,Ascl2
ASGR2,Asgr2
ASIP,Asip
ASL,Asl
ASMT,Asmt
GET3,Get3
ASNS,Asns
ASPA,Aspa
ASPH,Asph
ASS1,Ass1
ASTN1,Astn1
SERPINC1,Serpinc1
ZFHX3,Zfhx3
ATF1,Atf1
ATF3,Atf3
ATF4,Atf4
ATIC,Atic
ATM,Atm
RERE,Rere
ATOH1,Atoh1
ATOX1,Atox1
ATP1A1,Atp1a1
ATP1A3,Atp1a3
ATP12A,Atp12a
ATP1A4,Atp1a4
ATP1B1,Atp1b1
ATP1B2,Atp1b2
ATP1B3,Atp1b3
FXYD2,Fxyd2
ATP2A1,Atp2a1
ATP2A2,Atp2a2
ATP2A3,Atp2a3
ATP2B1,Atp2b1
ATP2B2,Atp2b2
ATP2B3,Atp2b3
ATP2B4,Atp2b4
ATP4A,Atp4a
ATP4B,Atp4b
ATP5F1A,Atp5f1a
ALDH7A1,Aldh7a1
ATP5F1B,Atp5f1b
ATP5F1C,Atp5f1c
ATP5F1D,Atp5f1d
ATP5F1E,Atp5f1e
ATP5PB,Atp5pb
ATP5MC1,Atp5mc1
ATP5MC2,Atp5mc2
ATP5MC3,Atp5mc3
ATP5ME,Atp5me
ATP5PF,Atp5pf
ATP6V1A,Atp6v1a
ATP6V1B1,Atp6v1b1
ATP6V1B2,Atp6v1b2
ATP6V0C,Atp6v0c
ATP6V1C1,Atp6v1c1
ATP6V1E1,Atp6v1e1
ATP6V0B,Atp6v0b
ATP6V1G2,Atp6v1g2
ATP6V0A1,Atp6v0a1
ATP6AP1,Atp6ap1
ATP7A,Atp7a
ATP5PO,Atp5po
ATP7B,Atp7b
ATR,Atr
ATRX,Atrx
KIF1A,Kif1a
AUH,Auh
AUP1,Aup1
AVP,Avp
AVPR1A,Avpr1a
AVPR1B,Avpr1b
AVPR2,Avpr2
AXL,Axl
AZGP1,Azgp1
B2M,B2m
BAAT,Baat
BACH1,Bach1
BAD,Bad
BAG1,Bag1
ADGRB1,Adgrb1
ADGRB2,Adgrb2
ADGRB3,Adgrb3
BAK1,Bak1
NKX3-2,Nkx3-2
BARD1,Bard1
BAX,Bax
BBS1,Bbs1
BBS2,Bbs2
BBS4,Bbs4
BCAT1,Bcat1
BCAT2,Bcat2
BCHE,Bche
BCKDHA,Bckdha
BCKDHB,Bckdhb
CCND1,Ccnd1
BCL2,Bcl2
BCL2A1,Bcl2a1
BCL2L1,Bcl2l1
BCL2L2,Bcl2l2
BCL3,Bcl3
BCL6,Bcl6
BCL7A,Bcl7a
BCL9,Bcl9
TNFRSF17,Tnfrsf17
HCN2,Hcn2
OPN1SW,Opn1sw
BCR,Bcr
BCS1L,Bcs1l
BDH1,Bdh1
BDKRB1,Bdkrb1
BDKRB2,Bdkrb2
BDNF,Bdnf
CFB,Cfb
BFSP1,Bfsp1
BGLAP,Bglap
BGN,Bgn
CEACAM1,Ceacam1
BHMT,Bhmt
BICD1,Bicd1
BID,Bid
BIK,Bik
PRDM1,Prdm1
BLK,Blk
BLM,Blm
BLMH,Blmh
CXCR5,Cxcr5
BLVRA,Blvra
BLVRB,Blvrb
BNC1,Bnc1
BMI1,Bmi1
BMP1,Bmp1
BMP2,Bmp2
BMP3,Bmp3
BMP4,Bmp4
BMP5,Bmp5
BMP6,Bmp6
BMP7,Bmp7
BMPR1A,Bmpr1a
BMPR1B,Bmpr1b
BMPR2,Bmpr2
BMX,Bmx
POLR3D,Polr3d
BNIP1,Bnip1
BNIP2,Bnip2
BNIP3,Bnip3
BNIP3L,Bnip3l
BOK,Bok
DST,Dst
FOXL2,Foxl2
BPGM,Bpgm
BPHL,Bphl
BPI,Bpi
BRCA1,Brca1
BRAF,Braf
BRCA2,Brca2
BRDT,Brdt
ZFP36L1,Zfp36l1
ZFP36L2,Zfp36l2
BRS3,Brs3
BSG,Bsg
BST1,Bst1
BST2,Bst2
BTC,Btc
BTD,Btd
KLF9,Klf9
KLF5,Klf5
BTF3,Btf3
BTG1,Btg1
BTK,Btk
BTN1A1,Btn1a1
BUB1,Bub1
BUB1B,Bub1b
BYSL,Bysl
TSPO,Tspo
C1QBP,C1qbp
SERPING1,Serping1
C1QA,C1qa
C1QB,C1qb
C1QC,C1qc
C1R,C1r
C1S,C1s
C2,C2
C3,C3
C3AR1,C3ar1
C4BPA,C4bpa
C4BPB,C4bpb
CAPN5,Capn5
C5,C5
C5AR1,C5ar1
C6,C6
C7,C7
C8A,C8a
C8B,C8b
C8G,C8g
OSGIN2,Osgin2
C9,C9
VPS51,Vps51
MRPL49,Mrpl49
ZNHIT2,Znhit2
MPPED2,Mpped2
MYRF,Myrf
TMEM258,Tmem258
DAGLA,Dagla
FMNL1,Fmnl1
LDLRAD4,Ldlrad4
PTTG1IP,Pttg1ip
CFAP410,Cfap410
TMEM50B,Tmem50b
MPPED1,Mpped1
CA1,Car1
CA2,Car2
CA3,Car3
CA4,Car4
CA5A,Car5a
CA6,Car6
CA7,Car7
CA8,Car8
CA9,Car9
CA11,Car11
CA12,Car12
CACNA1A,Cacna1a
CACNA1B,Cacna1b
CACNA1C,Cacna1c
CACNA1D,Cacna1d
CACNA1E,Cacna1e
CACNA1F,Cacna1f
CACNA1S,Cacna1s
DDR1,Ddr1
CACNA2D1,Cacna2d1
CACNB1,Cacnb1
CACNB2,Cacnb2
CACNB3,Cacnb3
CACNB4,Cacnb4
CACNG1,Cacng1
SLC25A20,Slc25a20
CAD,Cad
CALB1,Calb1
CALB2,Calb2
S100G,S100g
CALCA,Calca
CALCB,Calcb
CALCR,Calcr
CALD1,Cald1
CALM1,Calm1
CALM2,Calm2
CALM3,Calm3
CALML3,Calml3
CALR,Calr
CALU,Calu
CAMK4,Camk4
CAMK2A,Camk2a
CAMK2B,Camk2b
CAMK2D,Camk2d
CAMK2G,Camk2g
CAMLG,Camlg
CAMP,Camp
CANX,Canx
CAPG,Capg
CAPN1,Capn1
CAPN2,Capn2
CAPN3,Capn3
CAPNS1,Capns1
CAPN6,Capn6
CAPS,Caps
CAPZA1,Capza1
CAPZA2,Capza2
CAST,Cast
CAPZB,Capzb
CARS1,Cars1
CASP1,Casp1
CASP2,Casp2
CASP3,Casp3
CASP6,Casp6
CASP7,Casp7
CASP8,Casp8
CASP9,Casp9
CASQ1,Casq1
CASQ2,Casq2
CASR,Casr
CAT,Cat
CAV1,Cav1
CAV2,Cav2
CAV3,Cav3
RUNX2,Runx2
RUNX1,Runx1
RUNX1T1,Runx1t1
CBFA2T3,Cbfa2t3
RUNX3,Runx3
CBFB,Cbfb
SERPINA6,Serpina6
CBL,Cbl
CBLB,Cblb
CBLN1,Cbln1
SERPINH1,Serpinh1
CBR1,Cbr1
CBR3,Cbr3
CBS,Cbs
CCIN,Ccin
KYAT1,Kyat1
CCK,Cck
CCKAR,Cckar
CCKBR,Cckbr
KRIT1,Krit1
CCNA2,Ccna2
CCNB1,Ccnb1
CCNC,Ccnc
CCND2,Ccnd2
CCND3,Ccnd3
CCNE1,Ccne1
CCNF,Ccnf
CCNG1,Ccng1
CCNG2,Ccng2
CCNH,Ccnh
CCNT1,Ccnt1
CCNT2,Ccnt2
CCT6A,Cct6a
CD2,Cd2
CD3D,Cd3d
CD3E,Cd3e
CD3G,Cd3g
CD247,Cd247
CD4,Cd4
CD5,Cd5
CD5L,Cd5l
CD6,Cd6
CD7,Cd7
CD8A,Cd8a
CD8B,Cd8b
CD9,Cd9
CD14,Cd14
CD19,Cd19
MS4A1,Ms4a1
MS4A3,Ms4a3
CD22,Cd22
CD27,Cd27
CD28,Cd28
CD80,Cd80
CD86,Cd86
TNFRSF8,Tnfrsf8
TNFSF8,Tnfsf8
CD34,Cd34
SCARB1,Scarb1
SCARB2,Scarb2
CD37,Cd37
CD38,Cd38
ENTPD1,Entpd1
ENTPD2,Entpd2
ENTPD6,Entpd6
ENTPD3,Entpd3
ENTPD5,Entpd5
CD40,Cd40
CD40LG,Cd40lg
CD44,Cd44
CD48,Cd48
CD53,Cd53
CD59,Cd59b
CD63,Cd63
CD68,Cd68
CD69,Cd69
CD70,Cd70
CD72,Cd72
CD74,Cd74
CD79A,Cd79a
CD79B,Cd79b
CD81,Cd81
ADGRE5,Adgre5
CD151,Cd151
CDA,Cda
CDK1,Cdk1
CDK11B,Cdk11b
LRBA,Lrba
CDC5L,Cdc5l
SEPTIN7,Septin7
CDC6,Cdc6
CDC20,Cdc20
CDC25A,Cdc25a
CDC25B,Cdc25b
CDC25C,Cdc25c
CDC27,Cdc27
CDC34,Cdc34
CDC42,Cdc42
CDH1,Cdh1
CDH2,Cdh2
CDH3,Cdh3
CDH4,Cdh4
CDH5,Cdh5
CDH6,Cdh6
CDH7,Cdh7
CDH8,Cdh8
CDH9,Cdh9
CDH10,Cdh10
CDH11,Cdh11
CDH12,Cdh12
CDH13,Cdh13
CDH15,Cdh15
CDH16,Cdh16
CDH17,Cdh17
CDH18,Cdh18
CDK2,Cdk2
CDK4,Cdk4
CDK5,Cdk5
CDK6,Cdk6
CDK7,Cdk7
CDK8,Cdk8
CDK9,Cdk9
CDKN1A,Cdkn1a
CDKN1B,Cdkn1b
CDKN1C,Cdkn1c
CDKN2B,Cdkn2b
CDKN2C,Cdkn2c
CDKN2D,Cdkn2d
CDKN3,Cdkn3
CDO1,Cdo1
CDR2,Cdr2
CDS1,Cds1
CDSN,Cdsn
CD52,Cd52
CDX1,Cdx1
CDX2,Cdx2
CDX4,Cdx4
CLGN,Clgn
CEBPA,Cebpa
CEBPB,Cebpb
CEBPD,Cebpd
CEBPE,Cebpe
CEBPG,Cebpg
CEL,Cel
CENPA,Cenpa
CENPB,Cenpb
CENPC,Cenpc
CENPE,Cenpe
CENPF,Cenpf
CETN1,Cetn1
CETN2,Cetn2
CETN3,Cetn3
CFL1,Cfl1
CFL2,Cfl2
CTSC,Ctsc
CFTR,Cftr
CGA,Cga
CHAD,Chad
RCBTB2,Rcbtb2
CHAT,Chat
RCC1,Rcc1
CHD1,Chd1
CHD2,Chd2
CHD3,Chd3
CHD4,Chd4
CHEK1,Chek1
FOXN3,Foxn3
CHGA,Chga
CHGB,Chgb
CHI3L1,Chi3l1
CHIT1,Chit1
CHKA,Chka
CHKB,Chkb
CHM,Chm
CHML,Chml
CHN1,Chn1
CHN2,Chn2
CHRM1,Chrm1
CHRM2,Chrm2
LYST,Lyst
CHRM3,Chrm3
CHRM4,Chrm4
CHRM5,Chrm5
CHRNA1,Chrna1
CHRNA2,Chrna2
CHRNA3,Chrna3
CHRNA4,Chrna4
CHRNA5,Chrna5
CHRNA7,Chrna7
CHRNB1,Chrnb1
CHRNB2,Chrnb2
CHRNB3,Chrnb3
CHRNB4,Chrnb4
CHRND,Chrnd
CHRNE,Chrne
CHRNG,Chrng
CHUK,Chuk
CIDEA,Cidea
CKB,Ckb
CIRBP,Cirbp
CISH,Cish
TBCB,Tbcb
CKM,Ckm
CKMT1B,Ckmt1
CKMT2,Ckmt2
ERCC8,Ercc8
CKS1B,Cks1b
CKS2,Cks2
AP2M1,Ap2m1
AP1S1,Ap1s1
AP2S1,Ap2s1
AP3S1,Ap3s1
CLCA1,Clca1
CLCN1,Clcn1
CLCN2,Clcn2
CLCN3,Clcn3
CLCN4,Clcn4
CLCN5,Clcn5
CLCN6,Clcn6
CLCN7,Clcn7
CLU,Clu
CLIC1,Clic1
CLIC2,Clic2
CLK1,Clk1
CLK2,Clk2
CLK3,Clk3
TPP1,Tpp1
CLN3,Cln3
CLN5,Cln5
CLNS1A,Clns1a
CLPS,Clps
CLPTM1,Clptm1
CLTA,Clta
CLTB,Cltb
CLTC,Cltc
CCR1,Ccr1
CCR3,Ccr3
CCR4,Ccr4
CCR6,Ccr6
CCR7,Ccr7
CCR8,Ccr8
ACKR2,Ackr2
CMKLR1,Cmklr1
LTB4R,Ltb4r
ABCC2,Abcc2
CNGB1,Cngb1
CNGA1,Cnga1
CNGA2,Cnga2
CNGA3,Cnga3
CNGA4,Cnga4
PLK3,Plk3
CNN1,Cnn1
CNN2,Cnn2
CNN3,Cnn3
CNP,Cnp
CNR1,Cnr1
CNR2,Cnr2
CNTF,Cntf
CNTFR,Cntfr
CNTN1,Cntn1
COL1A1,Col1a1
COL1A2,Col1a2
COL2A1,Col2a1
COL3A1,Col3a1
COL4A1,Col4a1
COL4A2,Col4a2
COL4A3,Col4a3
COL4A5,Col4a5
COL4A6,Col4a6
COL5A1,Col5a1
COL5A2,Col5a2
COL6A1,Col6a1
COL6A2,Col6a2
COL6A3,Col6a3
COL7A1,Col7a1
COL8A1,Col8a1
COL8A2,Col8a2
COL9A1,Col9a1
COL9A2,Col9a2
COL9A3,Col9a3
COL10A1,Col10a1
COL11A1,Col11a1
COL11A2,Col11a2
COL12A1,Col12a1
COL13A1,Col13a1
COL15A1,Col15a1
COL16A1,Col16a1
COL17A1,Col17a1
COL19A1,Col19a1
COMP,Comp
COMT,Comt
COPA,Copa
COPB1,Copb1
KLF6,Klf6
SLC31A1,Slc31a1
SLC31A2,Slc31a2
CORT,Cort
MAP3K8,Map3k8
COX4I1,Cox4i1
COX5B,Cox5b
COX6A1,Cox6a1
COX6A2,Cox6a2
COX6B1,Cox6b1
COX6C,Cox6c
COX7A1,Cox7a1
COX7A2,Cox7a2
COX7B,Cox7b
COX7C,Cox7c
COX8A,Cox8a
COX10,Cox10
COX11,Cox11
COX15,Cox15
CP,Cp
CPA1,Cpa1
CPA2,Cpa2
CPA3,Cpa3
CPB1,Cpb1
CPB2,Cpb2
CPD,Cpd
CPE,Cpe
CLDN4,Cldn4
CLDN3,Cldn3
CLDN7,Cldn7
CPM,Cpm
CPN1,Cpn1
CPN2,Cpn2
CPOX,Cpox
CPS1,Cps1
CPT1A,Cpt1a
CPT1B,Cpt1b
CPT2,Cpt2
CR1L,Cr1l
CR2,Cr2
CRABP1,Crabp1
CRABP2,Crabp2
CRAT,Crat
CREB1,Creb1
ATF2,Atf2
CREBBP,Crebbp
ATF6B,Atf6b
CREBL2,Crebl2
CREM,Crem
CRH,Crh
CRHBP,Crhbp
CRHR1,Crhr1
CRHR2,Crhr2
CRIP1,Crip1
CRIP2,Crip2
CRK,Crk
CRKL,Crkl
CRMP1,Crmp1
CRP,Crp
HAPLN1,Hapln1
CRX,Crx
CRY1,Cry1
CRY2,Cry2
CRYAA,Cryaa
CRYAB,Cryab
CRYBA1,Cryba1
CRYBA2,Cryba2
CRYBA4,Cryba4
CRYBB1,Crybb1
CRYBB2,Crybb2
CRYBB3,Crybb3
CRYGS,Crygs
CRYM,Crym
CRYZ,Cryz
CS,Cs
MAPK14,Mapk14
CSE1L,Cse1l
CSF1,Csf1
CSF1R,Csf1r
CSF2,Csf2
CSF2RB,Csf2rb
CSF3,Csf3
CSF3R,Csf3r
CSK,Csk
CSN1S1,Csn1s1
CSN2,Csn2
CSN3,Csn3
CSNK1A1,Csnk1a1
CSNK1D,Csnk1d
CSNK1E,Csnk1e
CSNK1G2,Csnk1g2
CSNK1G3,Csnk1g3
CSNK2A1,Csnk2a1
CSNK2A2,Csnk2a2
CSNK2B,Csnk2b
VCAN,Vcan
NCAN,Ncan
CSPG4,Cspg4
CSRP1,Csrp1
CSRP2,Csrp2
SLC25A10,Slc25a10
CST6,Cst6
CSTB,Cstb
CSTF1,Cstf1
CSTF2,Cstf2
CSTF3,Cstf3
NKX2-5,Nkx2-5
CTBS,Ctbs
CTBP1,Ctbp1
CTBP2,Ctbp2
CTF1,Ctf1
CCN2,Ccn2
CTH,Cth
CTLA4,Ctla4
CTNNA1,Ctnna1
CTNNA2,Ctnna2
CTNS,Ctns
CTNNB1,Ctnnb1
CTNND1,Ctnnd1
CTNND2,Ctnnd2
CTPS1,Ctps1
CTRL,Ctrl
CTSB,Ctsb
CTSD,Ctsd
CTSE,Ctse
CTSG,Ctsg
CTSH,Ctsh
CTSK,Ctsk
CTSO,Ctso
CTSS,Ctss
CTSW,Ctsw
CTSZ,Ctsz
CUX1,Cux1
CX3CR1,Cx3cr1
CXADR,Cxadr
TEX28,Tex28
CYB5A,Cyb5a
CYB561,Cyb561
CYBA,Cyba
CYBB,Cybb
CYC1,Cyc1
CYLC1,Cylc1
CYLC2,Cylc2
CYLD,Cyld
CYP1B1,Cyp1b1
CYP2E1,Cyp2e1
CYP4B1,Cyp4b1
CYP7A1,Cyp7a1
CYP8B1,Cyp8b1
CYP11A1,Cyp11a1
CYP17A1,Cyp17a1
CYP19A1,Cyp19a1
CYP21A2,Cyp21a1
CYP24A1,Cyp24a1
CYP26A1,Cyp26a1
CYP27A1,Cyp27a1
CYP27B1,Cyp27b1
CYP51A1,Cyp51
DAB1,Dab1
DAB2,Dab2
DACH1,Dach1
DAD1,Dad1
CD55,Cd55
DAG1,Dag1
DGKA,Dgka
DGKB,Dgkb
DGKG,Dgkg
DGKQ,Dgkq
DAO,Dao
DAP,Dap
DAPK1,Dapk1
DAPK3,Dapk3
DARS1,Dars1
DAXX,Daxx
DAZL,Dazl
BRINP1,Brinp1
DBH,Dbh
DBI,Dbi
DBN1,Dbn1
DBP,Dbp
DBT,Dbt
DCC,Dcc
ECI1,Eci1
DCK,Dck
DCN,Dcn
DCTD,Dctd
DCT,Dct
DCTN1,Dctn1
DCX,Dcx
DDB1,Ddb1
DDB2,Ddb2
DDC,Ddc
GADD45A,Gadd45a
DDIT3,Ddit3
DDOST,Ddost
DDT,Ddt
DDX1,Ddx1
DDX3X,Ddx3x
DDX5,Ddx5
DDX6,Ddx6
DMXL1,Dmxl1
DHX8,Dhx8
DHX9,Dhx9
DDX10,Ddx10
DHX15,Dhx15
DECR1,Decr1
DEFB1,Defb1
DES,Des
CFD,Cfd
DFFA,Dffa
DFFB,Dffb
TIMM8A,Timm8a1
GSDME,Gsdme
COCH,Coch
DGUOK,Dguok
DHCR7,Dhcr7
DHCR24,Dhcr24
DHFR,Dhfr
DHODH,Dhodh
DHPS,Dhps
CYB5R3,Cyb5r3
NQO1,Nqo1
DIAPH1,Diaph1
DIAPH2,Diaph2
SEPTIN1,Septin1
DIO1,Dio1
DIO2,Dio2
DIO3,Dio3
DLAT,Dlat
DLD,Dld
DLG1,Dlg1
DLG2,Dlg2
DLG3,Dlg3
DLG4,Dlg4
DLST,Dlst
DLX1,Dlx1
DLX2,Dlx2
DLX3,Dlx3
DLX4,Dlx4
DLX5,Dlx5
DLX6,Dlx6
DMBT1,Dmbt1
DMD,Dmd
SARDH,Sardh
DMP1,Dmp1
DNM1,Dnm1
DMPK,Dmpk
DMRT1,Dmrt1
DMWD,Dmwd
DNA2,Dna2
DNAH5,Dnah5
DNAH6,Dnah6
DNAH8,Dnah8
DNAH9,Dnah9
DNASE1,Dnase1
DNASE1L1,Dnase1l1
DNASE1L2,Dnase1l2
DNASE1L3,Dnase1l3
DNASE2,Dnase2
DYNC1H1,Dync1h1
DYNC1I1,Dync1i1
DYNC1I2,Dync1i2
DYNC1LI2,Dync1li2
DNM2,Dnm2
DNMT1,Dnmt1
TRDMT1,Trdmt1
DNMT3A,Dnmt3a
DNMT3B,Dnmt3b
DNTT,Dntt
DOCK1,Dock1
DOCK2,Dock2
DOCK3,Dock3
DOK1,Dok1
DXO,Dxo
DPAGT1,Dpagt1
DPEP1,Dpep1
DPH1,Dph1
DPH2,Dph2
DPP4,Dpp4
DPP6,Dpp6
DPT,Dpt
DPYD,Dpyd
DPYS,Dpys
DPYSL2,Dpysl2
DPYSL3,Dpysl3
DR1,Dr1
SLC26A3,Slc26a3
DRD1,Drd1
DRD2,Drd2
DRD3,Drd3
DRD4,Drd4
DRD5,Drd5
DRG2,Drg2
ARID3A,Arid3a
DRP2,Drp2
ATN1,Atn1
DSC1,Dsc1
DSC2,Dsc2
DSC3,Dsc3
DSCAM,Dscam
RCAN1,Rcan1
DSG1,Dsg1
DSG2,Dsg2
DSG3,Dsg3
TSC22D3,Tsc22d3
DSP,Dsp
EPYC,Epyc
DSPP,Dspp
SLC26A2,Slc26a2
DTNA,Dtna
DTNB,Dtnb
HBEGF,Hbegf
DTX1,Dtx1
DTYMK,Dtymk
ECM2,Ecm2
DUSP1,Dusp1
DUSP2,Dusp2
DUSP3,Dusp3
DUSP4,Dusp4
DUSP5,Dusp5
DUSP6,Dusp6
DUSP7,Dusp7
DUSP8,Dusp8
DUSP9,Dusp9
DUT,Dut
DVL1,Dvl1
DVL2,Dvl2
DVL3,Dvl3
DYRK1A,Dyrk1a
TOR1A,Tor1a
E2F1,E2f1
E2F2,E2f2
E2F3,E2f3
E2F4,E2f4
E2F5,E2f5
E2F6,E2f6
E4F1,E4f1
EBF1,Ebf1
GPR183,Gpr183
ECE1,Ece1
ECH1,Ech1
ECHS1,Echs1
ECM1,Ecm1
ECT2,Ect2
EDA,Eda
S1PR1,S1pr1
LPAR1,Lpar1
S1PR3,S1pr3
EDN1,Edn1
EDN2,Edn2
EDN3,Edn3
EDNRA,Ednra
EDNRB,Ednrb
PHC1,Phc1
PHC2,Phc2
EEF1A1,Eef1a1
EEF1A2,Eef1a2
EEF1B2,Eef1b2
EEF1D,Eef1d
EEF1G,Eef1g
EEF2,Eef2
EIF2D,Eif2d
EFNA1,Efna1
EFNA2,Efna2
EFNA3,Efna3
EFNA4,Efna4
EFNA5,Efna5
EFNB1,Efnb1
EFNB2,Efnb2
EFNB3,Efnb3
EGF,Egf
CELSR3,Celsr3
CELSR2,Celsr2
MEGF6,Megf6
MEGF8,Megf8
MEGF9,Megf9
EGFR,Egfr
EGR1,Egr1
EGR2,Egr2
EGR3,Egr3
EGR4,Egr4
EHHADH,Ehhadh
EIF1AX,Eif1ax
EIF2S1,Eif2s1
